Star Name,ra(h),dec(deg),Epoch,Period,Magnitude,Mintime_Start
YZ ANT,10 17 33.770,-32 28 09.51,28873.433,2.152376,10.63,
DY AQR,22 19 04.37,-02 38 29.9,26929.473,2.1596922,10.3,
XZ AQR,22 05 02,-08 49 36,44527.483,2.0592071,11.8,
V536 ARA,17 40 14.33,-53 50 32.6,28748.265,2.3740961,12,
SZ ARI,03 26 23.896,+19 40 10.16,26414.289,1.7175422,11.3,
ZZ AUR,05 45 42.157,+41 08 59.18,25504.4907,0.6012157,11.1,
SU BOO,14 29 21,+32 08 12,35222.5404,1.5612496,12.2,
AL CAM,11 40 24.681,+80 14 09.53,26411.5337,1.3283318,10.28,
RZ CNC,08 39 08.5397,+31 47 44.476,18702.48,21.64306,9.02,
YZ CVN,13 56 49,+28 44 24,44793.4455,1.175556,12.5,
FZ CMA,07 02 42.6146,-11 27 11.557,41743.5875,1.2730362,8.14,
AM CMI,07 50 18.142,+01 57 19.15,25244.6214,1.0191906,10.5,
TY CAP,20 24 29.691,-12 57 55.38,44793.4527,1.4234561,10.3,
GW CAR,09 36 23.258,-59 59 09.72,30291.0372,1.128908,9.64,
V350 CAS,23 11 46,+53 40 36,29877.5439,2.0572666,13.2,
KT CEN,11 48 05,-62 21 12,41696.044,4.130435,12,
GI CEP,21 28 59,+65 12 18,36875.371,1.0376832,11.4,
WY CET,01 35 35,-11 56 24,26619.382,1.9396855,9.6,
YZ CHA,11 34 09.095,-77 44 34.44,42861.282,2.2286757,10.26,
AT CIR,14 03 38,-66 44 00,15221.817,3.257457,8.4,
V523 CAS,00 40 06,+50 13 10.62,41220.315,0.23369101,10.62,
V392 CAS,02 00 41,+69 07 18,38680.5836,4.540572,12.66,
EK COM,12 51 21,+27 13 54,49399.0076,0.26668739,12.11,
V681 CRA,18 37 39.6198,-42 57 19.792,28748.3057,2.1639412,7.74,
RW CRB,15 39 15.2330,+29 37 19.609,40751.7283,0.726411044,10.21,
RV CRV,12 37 40.7142,-19 34 40.049,41029.4533,0.7472436,8.77,
RV CRT,11 19 14.654,-19 49 43.96,42537.7203,1.17049633,10.21,
AB CRU,12 17 37.1244,-58 09 52.445,48687.4910,3.4133074,8.48,
V873 CYG,19 29 20.8,+31 46 52,35044.315,0.84819989,14.6,
V729 CYG,20 32 22.4246,+41 18 18.959,40413.793,6.597744,9.21,
KU CYG,20 12 45.1081,+47 23 41.385,33884.902,38.4388,11.4,
LS DEL,20 57 10.286,+19 38 59.23,47790.4284,0.36383914,8.61,
BE DRA,18 25 56,+68 57 48,36317.3845,0.52249384,11.3,
CD ERI,03 47 46,-08 36 54,29910.5828,2.8767291,9.5,
EG GEM,06 57 51,+13 08 30,42806.307,"1.2734058 ",12.2,
V387 HER,17 18 49,+20 14 42,28314.4336,0.58946678,12.8,
FO HYA,09 59 43.287,-19 07 56.22,44617.7711,0.46955586,10.9,
V340 LAC,22 12 45,+54 11 12,32806.044,19.943209,11.8,
HP LYR,19 21 39.8,+39 56 09,26900.4682,141.0,10.5,
V532 MON,07 04 30.6,-00 21 07,49315.7908,0.46698086,12.2,
V913 OPH,17 55 13,+14 09 00,42935.520,1.9173433,11.5,
V343 ORI,06 05 02,+12 33 30,33599.3745,0.80913083,10.7,
V505 PER,02 21 12.9625,+54 30 36.282,47863.487,4.22201925,6.88,
V743 SGR,17 43 56,-28 28 42,48392.7141,0.276635803,13.19,
MO PUP,07 30 49.44,-12 02 52,36193.5595,1.8358907,11.7,
V1061 TAU,04 58 52.7553,+24 29 44.562,49017.585,"1.3852196 ",8.03,
BH UMA,10 45 55.820,+52 14 50.82,30496.510,0.69867892,11.2,
ZZ UMA,10 30 03.1927,+61 48 41.422,35951.484,2.2992596,9.85,
FU VEL,09 33 50.623,-55 55 06.07,28655.224,2.4468033,10.23,
DM VIR,14 07 52.4283,-11 09 07.486,39589.181,4.6694382,8.80,
FR VUL,19 36 24.841,+26 45 56.56,34981.399,0.94185835,10.37,
